Bus Index,County Index
1,164
2,188
3,16
4,16
5,113
6,113
7,54
8,185
9,185
10,188
11,188
12,221
13,237
14,185
15,188
16,86
17,67
18,67
19,164
20,215
21,215
22,16
23,16
24,67
25,215
26,215
27,158
28,16
29,164
30,21
31,194
32,230
33,230
34,86
35,86
36,185
37,67
38,185
39,185
40,1
41,113
42,113
43,113
44,117
45,158
46,52
47,237
48,237
49,237
50,237
51,237
52,237
53,237
54,158
55,57
56,158
57,158
58,185
59,185
60,185
61,113
62,113
63,113
64,67
65,113
66,113
67,113
68,230
69,185
70,185
71,67
72,67
73,67
74,67
75,67
76,67
77,67
78,67
79,67
80,67
81,67
82,185
83,185
84,86
85,247
86,150
87,221
88,230
89,57
90,247
91,53
92,139
93,73
94,73
95,73
96,73
97,73
98,73
99,43
100,242
101,77
102,32
103,32
104,32
105,95
106,48
107,90
108,32
109,32
110,32
111,242
112,139
113,139
114,139
115,139
116,242
117,196
118,193
119,242
120,22
121,73
122,134
123,139
124,73
125,90
126,137
127,242
128,48
129,73
130,168
131,193
132,32
133,32
134,90
135,48
136,242
137,90
138,90
139,62
140,243
141,60
142,38
143,64
144,168
145,242
146,242
147,242
148,242
149,32
150,32
151,139
152,243
153,243
154,90
155,139
156,48
157,216
158,4
159,4
160,90
161,4
162,4
163,90
164,131
165,131
166,131
167,131
168,48
169,48
170,50
171,168
172,73
173,242
174,242
175,242
176,242
177,168
178,131
179,4
180,4
181,193
182,11
183,90
184,32
185,32
186,32
187,53
188,53
189,53
190,53
191,53
192,90
193,90
194,90
195,90
196,90
197,90
198,90
199,103
200,242
201,48
202,4
203,38
204,139
205,139
206,139
207,139
208,139
209,139
210,139
211,139
212,193
213,73
214,32
215,90
216,90
217,48
218,105
219,105
220,73
221,103
222,103
223,103
224,168
225,132
226,132
227,176
228,176
229,192
230,126
231,220
232,41
233,217
234,68
235,149
236,85
237,220
238,149
239,176
240,176
241,176
242,206
243,206
244,206
245,126
246,167
247,126
248,206
249,205
250,208
251,208
252,208
253,141
254,225
255,220
256,220
257,207
258,207
259,205
260,24
261,167
262,167
263,167
264,199
265,40
266,40
267,40
268,40
269,40
270,176
271,176
272,176
273,126
274,232
275,232
276,132
277,220
278,220
279,220
280,220
281,220
282,215
283,215
284,215
285,215
286,215
287,215
288,176
289,176
290,47
291,176
292,176
293,220
294,220
295,220
296,199
297,135
298,135
299,163
300,135
301,220
302,207
303,207
304,207
305,207
306,176
307,176
308,176
309,167
310,167
311,167
312,220
313,220
314,220
315,220
316,220
317,68
318,220
319,220
320,207
321,207
322,207
323,220
324,126
325,205
326,126
327,176
328,149
329,149
330,149
331,132
332,141
333,16
334,16
335,40
336,40
337,40
338,225
339,75
340,207
341,207
342,207
343,135
344,135
345,176
346,176
347,231
348,85
349,220
350,231
351,176
352,167
353,176
354,215
355,220
356,47
357,207
358,207
359,207
360,207
361,220
362,163
363,199
364,41
365,176
366,225
367,41
368,47
369,75
370,133
371,141
372,232
373,107
374,239
375,239
376,239
377,107
378,6
379,130
380,130
381,123
382,107
383,107
384,161
385,161
386,6
387,177
388,195
389,30
390,177
391,107
392,239
393,81
394,6
395,6
396,6
397,107
398,87
399,87
400,87
401,252
402,136
403,239
404,107
405,177
406,253
407,204
408,12
409,107
410,107
411,107
412,107
413,252
414,213
415,213
416,213
417,213
418,107
419,244
420,244
421,177
422,177
423,130
424,12
425,177
426,204
427,204
428,204
429,204
430,204
431,204
432,204
433,204
434,177
435,177
436,107
437,30
438,107
439,177
440,30
441,30
442,177
443,107
444,107
445,107
446,107
447,107
448,177
449,107
450,177
451,177
452,177
453,177
454,177
455,177
456,30
457,177
458,107
459,107
460,107
461,107
462,107
463,107
464,107
465,107
466,107
467,107
468,107
469,204
470,177
471,239
472,30
473,107
474,204
475,204
476,30
477,107
478,204
479,177
480,30
481,30
482,-1
483,239
484,239
485,239
486,239
487,6
488,148
489,213
490,177
491,30
492,107
493,177
494,23
495,12
496,30
497,124
498,213
499,65
500,65
501,81
502,81
503,81
504,81
505,81
506,81
507,81
508,81
509,148
510,-1
511,-1
512,-1
513,81
514,124
515,204
516,239
517,239
518,155
519,195
520,177
521,130
522,130
523,130
524,107
525,107
526,177
527,107
528,177
529,177
530,177
531,177
532,177
533,177
534,213
535,130
536,130
537,107
538,177
539,204
540,177
541,30
542,6
543,3
544,6
545,239
546,239
547,239
548,87
549,65
550,177
551,204
552,204
553,244
554,244
555,252
556,244
557,138
558,135
559,63
560,239
561,244
562,30
563,30
564,244
565,239
566,239
567,239
568,56
569,174
570,110
571,56
572,61
573,208
574,56
575,42
576,146
577,61
578,24
579,248
580,219
581,219
582,61
583,118
584,118
585,118
586,219
587,219
